"accuracy","f1","auc","seed"
0.690895741556535,0.47361840460115,0.821489450152366,7
0.684921450594626,0.464035964035964,0.816861727170711,14
0.687949508292969,0.471669980119284,0.823862825353642,21
0.682905355832722,0.460154883837122,0.811726093680019,28
0.68622561243949,0.470675575352635,0.816653627335302,35
0.6841642228739,0.46284289276808,0.814322793624,42
0.689296187683284,0.471175442974794,0.819839501013407,49
0.684411203988855,0.463876432486298,0.813684593162179,56
0.684712441314554,0.464490406179915,0.813513670139764,63
0.691111762980346,0.47376311844078,0.821941784870201,70
0.68566392479436,0.466600199401795,0.817907665776054,77
0.681764878334799,0.462756743380351,0.806403164962183,84
0.684009406231628,0.461692538808212,0.815027595813053,91
0.681444509688784,0.460467429139731,0.809224663593834,98
0.683345561261922,0.462649402390438,0.814882384659814,105
0.68813260965234,0.474022761009401,0.825079345395171,112
0.691394223720862,0.47070656273573,0.822489695130964,119
0.687875678053071,0.470002489419965,0.818166617797799,126
0.688800938141307,0.471496141399054,0.8213854063877,133
0.686078920346193,0.470034670629024,0.819153896328501,140
0.692251354914311,0.478271666252794,0.826835549772158,147
0.688123167155425,0.468117029257314,0.816717954734623,154
0.688895417156287,0.469438877755511,0.81887347866474,161
0.684712441314554,0.462077596996245,0.816475595864529,168
0.686024343745417,0.46461615403851,0.815549144506219,175
0.687820606771215,0.468562874251497,0.813704847739873,182
0.689574155653451,0.46911099949774,0.820667344390455,189
0.682071596244131,0.462149416728717,0.809836854520971,196
0.685998828353837,0.469831849653808,0.818075584043118,203
0.679225919953086,0.454364089775561,0.80577578519346,210
0.689736070381232,0.473369835739174,0.818994881197674,217
0.681878209831255,0.459351620947631,0.807795382586676,224
0.682304647412403,0.460542693552402,0.806981806241806,231
0.680663632359419,0.457199900174694,0.806356354108522,238
0.689022600528324,0.468255959849435,0.823532145394585,245
0.687114763721749,0.469651741293532,0.819699981700813,252
0.683600058728527,0.460035078927587,0.811881719001053,259
0.682672540381791,0.459073842302879,0.809215810177813,266
0.680604460093897,0.455341506129597,0.808559483174154,273
0.685877694676639,0.463157894736842,0.816587164058368,280
0.685819250551065,0.463083877448518,0.818520494280323,287
0.690444738000881,0.474195961106956,0.825829129482667,294
0.692938763551128,0.47886623570363,0.825612516059116,301
0.691799911984744,0.476712328767123,0.822699591434284,308
0.689907719349641,0.470882279430142,0.819811946499288,315
0.685831622176591,0.465835411471322,0.81366876488537,322
0.682483889865261,0.458,0.808598108328848,329
0.686360964138742,0.46516290726817,0.823811134627393,336
0.690580985915493,0.474458011462746,0.82501427117964,343
0.683886116818315,0.462574850299401,0.814852296913684,350
0.684658257553535,0.462768615692154,0.815970554584181,357
0.69195706513748,0.474014561888024,0.828325405831198,364
0.682465150403522,0.462493790362643,0.809458551397473,371
0.689655172413793,0.471382154461385,0.824102200924189,378
0.688794242913791,0.467988953050465,0.821273360073991,385
0.686191243227413,0.469948058372496,0.814697602019757,392
0.68705985915493,0.468212415856395,0.818347086344554,399
0.68967032967033,0.473396320238687,0.824744057490994,406
0.688664026983429,0.46831955922865,0.819878119937531,413
0.6880599206932,0.471115537848606,0.819089383289762,420
0.688941107357909,0.469704556835253,0.822431608411983,427
0.687564234326824,0.47143566815698,0.820840387071899,434
0.686015831134565,0.469539375928678,0.818338960803722,441
0.681858147713951,0.461691048847012,0.811605515265656,448
0.689094107299912,0.470411985018726,0.82046429997653,455
0.686142102172636,0.463891675025075,0.817558674855121,462
0.686167867117448,0.468508837440876,0.820028611202978,469
0.681924882629108,0.463366336633663,0.813264523406484,476
0.690658049353702,0.472444889779559,0.82733131011921,483
0.688572685932228,0.46911727931983,0.818418952197021,490
0.682145481263777,0.459655258556083,0.813625416445545,497
0.692918013517485,0.474610356963298,0.830243410885301,504
0.68967032967033,0.472872075659532,0.821549191012172,511
0.685906826838558,0.467990074441687,0.819049071108612,518
0.687307410124725,0.468445996507857,0.817836355149947,525
0.687289253775106,0.468477448293048,0.815377154571824,532
0.689771395076202,0.47325205274944,0.822261344724044,539
0.693640769569687,0.47640562248996,0.829849508819459,546
0.688885626192923,0.469321312296519,0.816628002860908,553
0.687701790431465,0.466666666666667,0.816279359263327,560
0.687390029325513,0.468594217347956,0.815600030983541,567
0.684589393271632,0.461499874592425,0.812510098010872,574
0.685106382978723,0.466699801192843,0.812181276722974,581
0.688628026412326,0.469234617308654,0.822360631020709,588
0.684927493774718,0.467178597968789,0.815049433280967,595
0.687600880410858,0.467616904226057,0.820117294124059,602
0.680258140217072,0.45771144278607,0.804198158294923,609
0.683291770573566,0.461730241834954,0.81103318920161,616
0.690273288275051,0.472208312468703,0.823743166711901,623
0.683338222352596,0.461998504859208,0.813222346143071,630
0.684913413560317,0.462847135351514,0.811938901740983,637
0.685228604923798,0.466467958271237,0.815781256538286,644
0.686656891495601,0.465349011758819,0.813719342172737,651
0.683399383531484,0.460615153788447,0.815378926050861,658
0.686116405219176,0.467545386719721,0.81655545970257,665
0.691415994130594,0.474906367041198,0.82430452141385,672
0.689123734037869,0.473396320238687,0.825667329522927,679
0.686536485097636,0.468244084682441,0.81838093518443,686
0.689882697947214,0.472700074794316,0.822981965729839,693
0.686849435566632,0.470238095238095,0.822943902982778,700
